"age","male","educ","educ0","income","hhincome","white_nh","tea_party","conserv","partyID","pid1","Democrat1","Republican1","milAssert1","intl1","anxiety","cGroup_Endorse","cGroup_Oppose","groupControl","tGroup_Endorse","tGroup_Oppose","cMCheck","tMCheck","cPivot","cCertain","cSucceed","cThreat","tDeploy","tCertain","tSucceed","tThreat","cHot","tHot","cDem","tDem","cFirst","ID"
22,1,5,0.5,1,1,0,0,5,1,0,1,0,0.9375,0.375,0.2,0,1,0,1,0,0,1,1,0.98,0.7,0.68,0.41,0.59,0.99,0.83,0,1,0,1,1,"R_bQHvGUWqHfXCA5f"
72,1,7,0.75,4,4,1,1,6,7,1,0,1,0.5625,0.5625,0.266666666666667,0,0,1,0,0,0,1,0.511111111111111,0.51,0.38,0.81,0.28,0.73,0.69,0.89,0,1,1,0,0,"R_a687rFFgDKS9gZn"
22,1,5,0.5,1,1,0,1,4,1,0,1,0,0.5625,0.5625,0.133333333333333,0,0,1,0,0,1,1,0.344444444444444,0.41,0.39,0.4,0.54,0.55,0.48,0.51,0,1,1,0,0,"R_0lI1I5f3bM1z1kx"
23,0,7,0.75,2,2,1,0,6,6,0.833333333333333,0,1,0.5625,0.4375,0.533333333333333,0,0,1,0,0,1,1,0.5,0.65,0.43,0.59,0.5,0.48,0.52,0.61,1,0,1,0,0,"R_0wDgijMj5HHRTF3"
69,1,9,1,6,7,1,0,6,6,0.833333333333333,0,1,0.0625,0.125,0.2,0,0,1,0,0,0,1,0.511111111111111,1,0.19,0.22,0,1,0,1,0,1,1,0,0,"R_8qtZQx8NqAVuCmF"
45,0,7,0.75,5,5,0,0,4,2,0.166666666666667,1,0,0.5,0.5625,0.466666666666667,0,0,1,0,0,1,0,0.666666666666667,0.59,0.67,0.52,0.31,0.33,0.39,0.47,0,1,0,1,0,"R_3fVOWCGecEkVztH"
50,0,7,0.75,5,5,1,0,3,2,0.166666666666667,1,0,0.3125,0.5,0.533333333333333,1,0,0,0,1,1,1,0.0222222222222222,0.76,0.3,0.2,0.77,0.44,0.75,0.97,0,1,0,1,1,"R_0BZfnkK4xY9SwFD"
40,0,9,1,4,4,1,0,4,2,0.166666666666667,1,0,0.375,0.625,0.266666666666667,0,1,0,1,0,1,0,0.0111111111111111,0,0.07,0.95,0.2,0.35,0.05,0.86,1,0,0,1,0,"R_72SYVoKOAFph39j"
66,0,5,0.5,3,3,1,1,7,6,0.833333333333333,0,1,0.375,0.5,0.333333333333333,0,1,0,1,0,0,1,0.0222222222222222,0.76,0.48,0.76,0.68,0.35,0.1,0.9,0,1,1,0,1,"R_6fACG9FW8R1Giwd"
56,1,3,0.25,2,2,1,1,7,7,1,0,1,0.6875,0.6875,0.6,0,1,0,1,0,1,1,0.633333333333333,0.67,0.59,0.84,0.53,0.57,0.5,0.64,1,0,0,1,1,"R_06RiYTh03NlsZG5"
45,1,3,0.25,2,2,1,0,4,5,0.666666666666667,0,1,0.5,0.5,0.266666666666667,1,0,0,0,1,1,0,0.544444444444445,0.4,0.45,0.6,0.32,0.44,0.5,0.59,0,1,1,0,0,"R_3slsatiPpoRIs0l"
